,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24,0.0009999275207519531,9.77225376697502e-07,0.0005997180938720703,0.0004896678041232201,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334,0.9,0.042491829279939865,28
31,0.0004000663757324219,0.0004899794507158651,0.00040035247802734376,0.0004903296442129031,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334,0.9,0.042491829279939865,28
25,0.0009999275207519531,3.015782985847835e-07,0.0006000041961669922,0.0004899014288601227,1,,rbf,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334,0.9,0.042491829279939865,28
32,0.0009997367858886718,5.519789172549356e-07,0.0004001617431640625,0.0004900960426673039,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.9166666666666666,0.8333333333333334,0.9,0.042491829279939865,28
33,0.0007996082305908204,0.00039980438187939656,0.00020008087158203126,0.0004001617431640625,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9583333333333334,0.875,0.75,0.9166666666666666,0.875,0.875,0.06972166887783963,37
30,0.00039992332458496096,0.0004898040929593269,0.0006000995635986328,0.0004899794507158651,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9583333333333334,0.875,0.75,0.9166666666666666,0.875,0.875,0.06972166887783963,37
42,0.0004002094268798828,0.0004901547271811616,0.0004002094268798828,0.0004901547271811614,100,3,sigmoid,0.01,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.875,0.875,0.9583333333333334,0.875,0.875,0.052704627669473016,37
45,0.00039997100830078123,0.0004898624411217046,0.00019998550415039061,0.0003999710083007812,100,4,sigmoid,0.01,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.875,0.875,0.9583333333333334,0.875,0.875,0.052704627669473016,37
51,0.00019998550415039061,0.0003999710083007812,0.00040001869201660155,0.0004899208473093903,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.8333333333333334,0.7083333333333334,0.875,0.8333333333333334,0.8083333333333333,0.05651941652604389,41
48,0.00020003318786621094,0.0004000663757324219,0.00039997100830078123,0.0004898624643296147,1000,3,sigmoid,0.01,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.7916666666666666,0.8333333333333334,0.7083333333333334,0.875,0.8333333333333334,0.8083333333333333,0.05651941652604389,41
5,0.0013999462127685547,0.000489726187095153,0.0008000373840332031,0.0004000188483286684,1,5,sigmoid,,"{'C': 1, 'degree': 5, 'kernel': 'sigmoid'}",0.0,0.08333333333333333,0.20833333333333334,0.125,0.08333333333333333,0.1,0.06770032003863301,43
1,0.0018000125885009766,0.00039992345250715414,0.0005998611450195312,0.0004897845816770382,1,3,sigmoid,,"{'C': 1, 'degree': 3, 'kernel': 'sigmoid'}",0.0,0.08333333333333333,0.20833333333333334,0.125,0.08333333333333333,0.1,0.06770032003863301,43
3,0.001600027084350586,0.0004900770997545335,0.0005999088287353515,0.0004898235384771109,1,4,sigmoid,,"{'C': 1, 'degree': 4, 'kernel': 'sigmoid'}",0.0,0.08333333333333333,0.20833333333333334,0.125,0.08333333333333333,0.1,0.06770032003863301,43
11,0.0009999275207519531,3.015782985847835e-07,0.0007997512817382813,0.0003998757261607768,10,5,sigmoid,,"{'C': 10, 'degree': 5, 'kernel': 'sigmoid'}",0.0,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.09166666666666666,0.06666666666666668,46
9,0.0014004230499267579,0.0004898237009453609,0.00020003318786621094,0.0004000663757324219,10,4,sigmoid,,"{'C': 10, 'degree': 4, 'kernel': 'sigmoid'}",0.0,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.09166666666666666,0.06666666666666668,46
7,0.0013999462127685547,0.0004903103532500157,0.0004001140594482422,0.000490037694480031,10,3,sigmoid,,"{'C': 10, 'degree': 3, 'kernel': 'sigmoid'}",0.0,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.09166666666666666,0.06666666666666668,46
19,0.0012004852294921875,0.00040016225454772336,0.00039958953857421875,0.000489395238030506,1000,3,sigmoid,,"{'C': 1000, 'degree': 3, 'kernel': 'sigmoid'}",0.0,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.0,0.05833333333333333,0.06236095644623236,49
21,0.0010002613067626952,0.0006325605819274914,0.0004001140594482422,0.000490038622463583,1000,4,sigmoid,,"{'C': 1000, 'degree': 4, 'kernel': 'sigmoid'}",0.0,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.0,0.05833333333333333,0.06236095644623236,49
23,0.0010009765625,1.0512069551967909e-06,0.0007994651794433593,0.0003997326323827616,1000,5,sigmoid,,"{'C': 1000, 'degree': 5, 'kernel': 'sigmoid'}",0.0,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.0,0.05833333333333333,0.06236095644623236,49
17,0.0011997699737548828,0.0003996851335587215,0.0005997657775878906,0.000489706714496402,100,5,sigmoid,,"{'C': 100, 'degree': 5, 'kernel': 'sigmoid'}",0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.041666666666666664,0.06454972243679029,52
15,0.0015999794006347657,0.0004899403624467531,0.0005999565124511719,0.0004898624643296146,100,4,sigmoid,,"{'C': 100, 'degree': 4, 'kernel': 'sigmoid'}",0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.041666666666666664,0.06454972243679029,52
13,0.0014000415802001953,0.0004899403160383116,0.00039992332458496096,0.0004898040465379741,100,3,sigmoid,,"{'C': 100, 'degree': 3, 'kernel': 'sigmoid'}",0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.041666666666666664,0.06454972243679029,52
